scenario,level,algorithm,seed,normalized_HV
objective_noise_pct,0,qNEHVI,13,0.8796600211008591
objective_noise_pct,0,qNEHVI,14,0.8834971870042807
objective_noise_pct,0,qNEHVI,15,0.887980100403268
objective_noise_pct,0,qNEHVI,16,0.8728903029134943
objective_noise_pct,0,qNEHVI,17,0.8814865858123613
objective_noise_pct,0,qNEHVI,18,0.8836122589464639
objective_noise_pct,0,qNEHVI,19,0.8772128692800721
objective_noise_pct,0,qNEHVI,20,0.8745042011947771
objective_noise_pct,0,LC-SAEA,1,0.8679709327036399
objective_noise_pct,0,LC-SAEA,2,0.8756528848399394
objective_noise_pct,0,LC-SAEA,3,0.8651206357055866
objective_noise_pct,0,LC-SAEA,4,0.8632999290675946
objective_noise_pct,0,LC-SAEA,5,0.8873170233596848
objective_noise_pct,0,LC-SAEA,6,0.8740248427279104
objective_noise_pct,0,LC-SAEA,7,0.8737291211267796
objective_noise_pct,0,LC-SAEA,8,0.8758119628434305
objective_noise_pct,0,LC-SAEA,9,0.8752839263116511
objective_noise_pct,0,LC-SAEA,10,0.8740717048125637
objective_noise_pct,0,LC-SAEA,11,0.8664846087536359
objective_noise_pct,0,LC-SAEA,12,0.8589506958920405
objective_noise_pct,0,LC-SAEA,13,0.8614206522685964
objective_noise_pct,0,LC-SAEA,14,0.8806575189854082
objective_noise_pct,0,LC-SAEA,15,0.869622565256702
objective_noise_pct,0,LC-SAEA,16,0.8765301655969253
objective_noise_pct,0,LC-SAEA,17,0.8692087508490642
objective_noise_pct,0,LC-SAEA,18,0.8672025328616453
objective_noise_pct,0,LC-SAEA,19,0.8798955785234744
objective_noise_pct,0,LC-SAEA,20,0.8623935006955018
objective_noise_pct,2,MF-BCL-SAEA,1,0.9143852585515774
objective_noise_pct,2,MF-BCL-SAEA,2,0.9132945049834035
objective_noise_pct,2,MF-BCL-SAEA,3,0.913166941113952
objective_noise_pct,2,MF-BCL-SAEA,4,0.9185868755494809
objective_noise_pct,2,MF-BCL-SAEA,5,0.9074046502466232
objective_noise_pct,2,MF-BCL-SAEA,6,0.9132198572675051
objective_noise_pct,2,MF-BCL-SAEA,7,0.9179936314112073
objective_noise_pct,2,MF-BCL-SAEA,8,0.9035171717431206
objective_noise_pct,2,MF-BCL-SAEA,9,0.9140523999334005
objective_noise_pct,2,MF-BCL-SAEA,10,0.9193176505416866
objective_noise_pct,2,MF-BCL-SAEA,11,0.9098127701062341
objective_noise_pct,2,MF-BCL-SAEA,12,0.9207359572844421
objective_noise_pct,2,MF-BCL-SAEA,13,0.9011989007845287
objective_noise_pct,2,MF-BCL-SAEA,14,0.9081767946561701
objective_noise_pct,2,MF-BCL-SAEA,15,0.9114504591233494
objective_noise_pct,2,MF-BCL-SAEA,16,0.9032760169211665
objective_noise_pct,2,MF-BCL-SAEA,17,0.9082224373829612
objective_noise_pct,2,MF-BCL-SAEA,18,0.9090768123552515
objective_noise_pct,2,MF-BCL-SAEA,19,0.9134677880162055
objective_noise_pct,2,MF-BCL-SAEA,20,0.9149565477976469
objective_noise_pct,2,MF-EMTO,1,0.8899467846206962
objective_noise_pct,2,MF-EMTO,2,0.8717763291523549
objective_noise_pct,2,MF-EMTO,3,0.8728154444936957
objective_noise_pct,2,MF-EMTO,4,0.8816068822820198
objective_noise_pct,2,MF-EMTO,5,0.8743287091940262
objective_noise_pct,2,MF-EMTO,6,0.867306570084109
objective_noise_pct,2,MF-EMTO,7,0.8738381365420688
objective_noise_pct,2,MF-EMTO,8,0.8789734718151595
objective_noise_pct,2,MF-EMTO,9,0.8749860496918023
objective_noise_pct,2,MF-EMTO,10,0.8842389757874226
objective_noise_pct,2,MF-EMTO,11,0.8826828157333134
objective_noise_pct,2,MF-EMTO,12,0.8901905734015967
objective_noise_pct,2,MF-EMTO,13,0.875996694506307
objective_noise_pct,2,MF-EMTO,14,0.8927952321069045
objective_noise_pct,2,MF-EMTO,15,0.8767886563328414
objective_noise_pct,2,MF-EMTO,16,0.8839842164503157
objective_noise_pct,2,MF-EMTO,17,0.8909704256512149
objective_noise_pct,2,MF-EMTO,18,0.8745546461592202
objective_noise_pct,2,MF-EMTO,19,0.8798668064226304
objective_noise_pct,2,MF-EMTO,20,0.8847147250395023
objective_noise_pct,2,qNEHVI,1,0.8729697108402668
objective_noise_pct,2,qNEHVI,2,0.8872253331313628
objective_noise_pct,2,qNEHVI,3,0.8828994000628279
objective_noise_pct,2,qNEHVI,4,0.8917447278577482
objective_noise_pct,2,qNEHVI,5,0.8792474806859346
objective_noise_pct,2,qNEHVI,6,0.8687026535632987
objective_noise_pct,2,qNEHVI,7,0.8707218853829766
objective_noise_pct,2,qNEHVI,8,0.8812489401867885
objective_noise_pct,2,qNEHVI,9,0.8806909197381696
objective_noise_pct,2,qNEHVI,10,0.8812507314570083
objective_noise_pct,2,qNEHVI,11,0.8746921905503126
objective_noise_pct,2,qNEHVI,12,0.8840375693259559
objective_noise_pct,2,qNEHVI,13,0.8762674760228587
objective_noise_pct,2,qNEHVI,14,0.8780656649835541
objective_noise_pct,2,qNEHVI,15,0.8970606111349751
objective_noise_pct,2,qNEHVI,16,0.8703815020294533
objective_noise_pct,2,qNEHVI,17,0.873273293462403
objective_noise_pct,2,qNEHVI,18,0.8788141253911183
objective_noise_pct,2,qNEHVI,19,0.8884182053935427
objective_noise_pct,2,qNEHVI,20,0.8868825329711503
objective_noise_pct,2,LC-SAEA,1,0.8710529323852143
objective_noise_pct,2,LC-SAEA,2,0.8714836383186302
objective_noise_pct,2,LC-SAEA,3,0.875480742062867
objective_noise_pct,2,LC-SAEA,4,0.8556435684134654
objective_noise_pct,2,LC-SAEA,5,0.8695633820807658
objective_noise_pct,2,LC-SAEA,6,0.865829608777392
objective_noise_pct,2,LC-SAEA,7,0.8696692113596953
objective_noise_pct,2,LC-SAEA,8,0.8788210523651783
objective_noise_pct,2,LC-SAEA,9,0.8654698397600363
objective_noise_pct,2,LC-SAEA,10,0.8769692663686243
objective_noise_pct,2,LC-SAEA,11,0.8636440004350762
objective_noise_pct,2,LC-SAEA,12,0.8665571774178531
objective_noise_pct,2,LC-SAEA,13,0.8635389914597673
objective_noise_pct,2,LC-SAEA,14,0.8709415190965414
objective_noise_pct,2,LC-SAEA,15,0.8798716143707636
objective_noise_pct,2,LC-SAEA,16,0.8696824284135053
objective_noise_pct,2,LC-SAEA,17,0.8794327361885799
objective_noise_pct,2,LC-SAEA,18,0.8738101513142502
objective_noise_pct,2,LC-SAEA,19,0.8754585039279449
objective_noise_pct,2,LC-SAEA,20,0.8824086361470169
objective_noise_pct,5,MF-BCL-SAEA,1,0.9007936809521011
objective_noise_pct,5,MF-BCL-SAEA,2,0.90609375720752
objective_noise_pct,5,MF-BCL-SAEA,3,0.9080750181535494
objective_noise_pct,5,MF-BCL-SAEA,4,0.9030850085625984
objective_noise_pct,5,MF-BCL-SAEA,5,0.9004437493988737
objective_noise_pct,5,MF-BCL-SAEA,6,0.9029127866015381
objective_noise_pct,5,MF-BCL-SAEA,7,0.9069132076942121
objective_noise_pct,5,MF-BCL-SAEA,8,0.9082958248779017
objective_noise_pct,5,MF-BCL-SAEA,9,0.8980352864702548
objective_noise_pct,5,MF-BCL-SAEA,10,0.9053774683764525
objective_noise_pct,5,MF-BCL-SAEA,11,0.90751347765714
objective_noise_pct,5,MF-BCL-SAEA,12,0.9086587421322204
objective_noise_pct,5,MF-BCL-SAEA,13,0.8993228917668974
objective_noise_pct,5,MF-BCL-SAEA,14,0.9004174815901715
objective_noise_pct,5,MF-BCL-SAEA,15,0.8990033804793838
objective_noise_pct,5,MF-BCL-SAEA,16,0.9088373045566625
objective_noise_pct,5,MF-BCL-SAEA,17,0.9071428417408781
objective_noise_pct,5,MF-BCL-SAEA,18,0.9084354875729466
objective_noise_pct,5,MF-BCL-SAEA,19,0.9076905505658731
objective_noise_pct,5,MF-BCL-SAEA,20,0.902216200749616
objective_noise_pct,5,MF-EMTO,1,0.8613017808784216
objective_noise_pct,5,MF-EMTO,2,0.8715797802673492
objective_noise_pct,5,MF-EMTO,3,0.8661658597900335
objective_noise_pct,5,MF-EMTO,4,0.8760978861506562
objective_noise_pct,5,MF-EMTO,5,0.8875592777012032
objective_noise_pct,5,MF-EMTO,6,0.8752528668088093
objective_noise_pct,5,MF-EMTO,7,0.8854816774563211
objective_noise_pct,5,MF-EMTO,8,0.8721575366419759
objective_noise_pct,5,MF-EMTO,9,0.8692345486541586
objective_noise_pct,5,MF-EMTO,10,0.8652252854408011
objective_noise_pct,5,MF-EMTO,11,0.8668232032322017
objective_noise_pct,5,MF-EMTO,12,0.8674335268202265
objective_noise_pct,5,MF-EMTO,13,0.8769781416932182
objective_noise_pct,5,MF-EMTO,14,0.8567648373245552
objective_noise_pct,5,MF-EMTO,15,0.8724645853224692
objective_noise_pct,5,MF-EMTO,16,0.8726144138129232
objective_noise_pct,5,MF-EMTO,17,0.8618225063320271
objective_noise_pct,5,MF-EMTO,18,0.8707532799908191
objective_noise_pct,5,MF-EMTO,19,0.8740220062604178
objective_noise_pct,5,MF-EMTO,20,0.8714300219285636
objective_noise_pct,5,qNEHVI,1,0.8769962875043498
objective_noise_pct,5,qNEHVI,2,0.8628991547382405
objective_noise_pct,5,qNEHVI,3,0.8655771830404563
objective_noise_pct,5,qNEHVI,4,0.8508214249523163
objective_noise_pct,5,qNEHVI,5,0.8610504913975162
objective_noise_pct,5,qNEHVI,6,0.874270594445762
objective_noise_pct,5,qNEHVI,7,0.8602531963140985
objective_noise_pct,5,qNEHVI,8,0.8712623059244168
objective_noise_pct,5,qNEHVI,9,0.864191752380784
objective_noise_pct,5,qNEHVI,10,0.8666425099021248
objective_noise_pct,5,qNEHVI,11,0.8695731497899687
objective_noise_pct,5,qNEHVI,12,0.867611624220418
objective_noise_pct,5,qNEHVI,13,0.8718976587092891
objective_noise_pct,5,qNEHVI,14,0.8723160440024436
objective_noise_pct,5,qNEHVI,15,0.8717866693042589
objective_noise_pct,5,qNEHVI,16,0.8644464731375118
objective_noise_pct,5,qNEHVI,17,0.883447460271954
objective_noise_pct,5,qNEHVI,18,0.866637609105183
objective_noise_pct,5,qNEHVI,19,0.8690266579285009
objective_noise_pct,5,qNEHVI,20,0.8738627905452919
objective_noise_pct,5,LC-SAEA,1,0.8600250894928845
objective_noise_pct,5,LC-SAEA,2,0.8721366010064746
objective_noise_pct,5,LC-SAEA,3,0.8596112548749241
objective_noise_pct,5,LC-SAEA,4,0.8576637109397215
objective_noise_pct,5,LC-SAEA,5,0.872022736752146
objective_noise_pct,5,LC-SAEA,6,0.8595426287621398
objective_noise_pct,5,LC-SAEA,7,0.8582348183642565
objective_noise_pct,5,LC-SAEA,8,0.8650883565820551
objective_noise_pct,5,LC-SAEA,9,0.852074934798128
objective_noise_pct,5,LC-SAEA,10,0.8468697311888878
objective_noise_pct,5,LC-SAEA,11,0.872429490212459
objective_noise_pct,5,LC-SAEA,12,0.8504821601527198
objective_noise_pct,5,LC-SAEA,13,0.8561122916429011
objective_noise_pct,5,LC-SAEA,14,0.8549437442997303
objective_noise_pct,5,LC-SAEA,15,0.8668360773650731
objective_noise_pct,5,LC-SAEA,16,0.8543051726071641
objective_noise_pct,5,LC-SAEA,17,0.8677128384076379
objective_noise_pct,5,LC-SAEA,18,0.8667906822688215
objective_noise_pct,5,LC-SAEA,19,0.8562173049875917
objective_noise_pct,5,LC-SAEA,20,0.8749750567997712
objective_noise_pct,10,MF-BCL-SAEA,1,0.894525619015169
objective_noise_pct,10,MF-BCL-SAEA,2,0.8913938868766819
objective_noise_pct,10,MF-BCL-SAEA,3,0.8923343174866053
objective_noise_pct,10,MF-BCL-SAEA,4,0.8892154733735012
objective_noise_pct,10,MF-BCL-SAEA,5,0.8988200352418446
objective_noise_pct,10,MF-BCL-SAEA,6,0.8942300621194101
objective_noise_pct,10,MF-BCL-SAEA,7,0.9017383842965054
objective_noise_pct,10,MF-BCL-SAEA,8,0.8964531886705733
objective_noise_pct,10,MF-BCL-SAEA,9,0.8981615725059124
objective_noise_pct,10,MF-BCL-SAEA,10,0.903603885372183
objective_noise_pct,10,MF-BCL-SAEA,11,0.9013156785026744
objective_noise_pct,10,MF-BCL-SAEA,12,0.8965228908271852
objective_noise_pct,10,MF-BCL-SAEA,13,0.8858407706879559
objective_noise_pct,10,MF-BCL-SAEA,14,0.9067542668775621
objective_noise_pct,10,MF-BCL-SAEA,15,0.8936172577167364
objective_noise_pct,10,MF-BCL-SAEA,16,0.893577456412238
objective_noise_pct,10,MF-BCL-SAEA,17,0.8948853097755848
objective_noise_pct,10,MF-BCL-SAEA,18,0.8959914956012005
objective_noise_pct,10,MF-BCL-SAEA,19,0.9002167208100663
objective_noise_pct,10,MF-BCL-SAEA,20,0.8970636932279288
objective_noise_pct,10,MF-EMTO,1,0.8606485480351623
objective_noise_pct,10,MF-EMTO,2,0.8718335454211433
objective_noise_pct,10,MF-EMTO,3,0.8565993296411655
objective_noise_pct,10,MF-EMTO,4,0.8724830233237137
objective_noise_pct,10,MF-EMTO,5,0.8632582222877917
objective_noise_pct,10,MF-EMTO,6,0.8512717368783681
objective_noise_pct,10,MF-EMTO,7,0.8631936495913248
objective_noise_pct,10,MF-EMTO,8,0.8509706064877449
objective_noise_pct,10,MF-EMTO,9,0.853821967320386
objective_noise_pct,10,MF-EMTO,10,0.8666676087018622
objective_noise_pct,10,MF-EMTO,11,0.8613609655369563
objective_noise_pct,10,MF-EMTO,12,0.8705093843104156
objective_noise_pct,10,MF-EMTO,13,0.8617763144146074
objective_noise_pct,10,MF-EMTO,14,0.8520691182002617
objective_noise_pct,10,MF-EMTO,15,0.8610437462344461
objective_noise_pct,10,MF-EMTO,16,0.8666232036110022
objective_noise_pct,10,MF-EMTO,17,0.8677551478469813
objective_noise_pct,10,MF-EMTO,18,0.8776709146623525
objective_noise_pct,10,MF-EMTO,19,0.8749399983372859
objective_noise_pct,10,MF-EMTO,20,0.8636183868760511
objective_noise_pct,10,qNEHVI,1,0.8430578162442467
objective_noise_pct,10,qNEHVI,2,0.8505992216850383
objective_noise_pct,10,qNEHVI,3,0.8492213977621866
objective_noise_pct,10,qNEHVI,4,0.864093091054858
objective_noise_pct,10,qNEHVI,5,0.8496610907461263
objective_noise_pct,10,qNEHVI,6,0.8535331335122287
objective_noise_pct,10,qNEHVI,7,0.8564464314398361
objective_noise_pct,10,qNEHVI,8,0.8657165508278386
objective_noise_pct,10,qNEHVI,9,0.8589756192461138
objective_noise_pct,10,qNEHVI,10,0.8721298149931975
objective_noise_pct,10,qNEHVI,11,0.8671870525261974
objective_noise_pct,10,qNEHVI,12,0.866184614453989
objective_noise_pct,10,qNEHVI,13,0.8577560664489554
objective_noise_pct,10,qNEHVI,14,0.8574907535876408
objective_noise_pct,10,qNEHVI,15,0.8553184910270153
objective_noise_pct,10,qNEHVI,16,0.8538690118683644
objective_noise_pct,10,qNEHVI,17,0.852881325595463
objective_noise_pct,10,qNEHVI,18,0.8515435780175443
objective_noise_pct,10,qNEHVI,19,0.8595891451801024
objective_noise_pct,10,qNEHVI,20,0.8555857993413856
objective_noise_pct,10,LC-SAEA,1,0.8541172759354709
objective_noise_pct,10,LC-SAEA,2,0.8466913383237906
objective_noise_pct,10,LC-SAEA,3,0.8558980624974122
objective_noise_pct,10,LC-SAEA,4,0.8487239452254322
objective_noise_pct,10,LC-SAEA,5,0.8409437693111583
objective_noise_pct,10,LC-SAEA,6,0.8579649390010746
objective_noise_pct,10,LC-SAEA,7,0.8400265568137689
objective_noise_pct,10,LC-SAEA,8,0.8504765860637881
objective_noise_pct,10,LC-SAEA,9,0.8460178952248956
objective_noise_pct,10,LC-SAEA,10,0.8515170805286338
objective_noise_pct,10,LC-SAEA,11,0.8475055543738523
objective_noise_pct,10,LC-SAEA,12,0.8422043782793125
objective_noise_pct,10,LC-SAEA,13,0.8468164861526468
objective_noise_pct,10,LC-SAEA,14,0.8469900681460805
objective_noise_pct,10,LC-SAEA,15,0.8554019948484683
objective_noise_pct,10,LC-SAEA,16,0.8557114730865948
objective_noise_pct,10,LC-SAEA,17,0.8409591004959875
objective_noise_pct,10,LC-SAEA,18,0.854979219783589
objective_noise_pct,10,LC-SAEA,19,0.8477892235567228
objective_noise_pct,10,LC-SAEA,20,0.8317438888907586
objective_noise_pct,15,MF-BCL-SAEA,1,0.8883396907023177
objective_noise_pct,15,MF-BCL-SAEA,2,0.8825303944811266
objective_noise_pct,15,MF-BCL-SAEA,3,0.8996870077689677
objective_noise_pct,15,MF-BCL-SAEA,4,0.8973754557056635
objective_noise_pct,15,MF-BCL-SAEA,5,0.8897130876715067
objective_noise_pct,15,MF-BCL-SAEA,6,0.8858496522037189
objective_noise_pct,15,MF-BCL-SAEA,7,0.8932085670153584
objective_noise_pct,15,MF-BCL-SAEA,8,0.8857293605083636
objective_noise_pct,15,MF-BCL-SAEA,9,0.8845650016307867
objective_noise_pct,15,MF-BCL-SAEA,10,0.8834159471544017
objective_noise_pct,15,MF-BCL-SAEA,11,0.8884395396948931
objective_noise_pct,15,MF-BCL-SAEA,12,0.8885426635832533
objective_noise_pct,15,MF-BCL-SAEA,13,0.8889424270741543
objective_noise_pct,15,MF-BCL-SAEA,14,0.8904091276013387
objective_noise_pct,15,MF-BCL-SAEA,15,0.8879023883778026
objective_noise_pct,15,MF-BCL-SAEA,16,0.8937645961021132
objective_noise_pct,15,MF-BCL-SAEA,17,0.8938837898371341
objective_noise_pct,15,MF-BCL-SAEA,18,0.8796754868054244
objective_noise_pct,15,MF-BCL-SAEA,19,0.8842171696025866
objective_noise_pct,15,MF-BCL-SAEA,20,0.8849482034100462
objective_noise_pct,15,MF-EMTO,1,0.865853409972776
objective_noise_pct,15,MF-EMTO,2,0.8452511043063309
objective_noise_pct,15,MF-EMTO,3,0.8505885558235771
objective_noise_pct,15,MF-EMTO,4,0.8458946360878074
objective_noise_pct,15,MF-EMTO,5,0.8489206303559552
objective_noise_pct,15,MF-EMTO,6,0.8661539590250414
objective_noise_pct,15,MF-EMTO,7,0.8545663475271565
objective_noise_pct,15,MF-EMTO,8,0.8567969082990228
objective_noise_pct,15,MF-EMTO,9,0.8406666654334826
objective_noise_pct,15,MF-EMTO,10,0.8522814061599171
objective_noise_pct,15,MF-EMTO,11,0.8534065951031581
objective_noise_pct,15,MF-EMTO,12,0.8549801424451806
objective_noise_pct,15,MF-EMTO,13,0.8544335616396509
objective_noise_pct,15,MF-EMTO,14,0.8455945502802706
objective_noise_pct,15,MF-EMTO,15,0.8411178035825903
objective_noise_pct,15,MF-EMTO,16,0.859050397745599
objective_noise_pct,15,MF-EMTO,17,0.8538746452408038
objective_noise_pct,15,MF-EMTO,18,0.859962424448716
objective_noise_pct,15,MF-EMTO,19,0.8536606214333113
objective_noise_pct,15,MF-EMTO,20,0.8356794424277855
objective_noise_pct,15,qNEHVI,1,0.8422145888092889
objective_noise_pct,15,qNEHVI,2,0.8465334494732097
objective_noise_pct,15,qNEHVI,3,0.8393786097067298
objective_noise_pct,15,qNEHVI,4,0.8436363658651215
objective_noise_pct,15,qNEHVI,5,0.8281855821761257
objective_noise_pct,15,qNEHVI,6,0.8394657617602933
objective_noise_pct,15,qNEHVI,7,0.8545534583297728
objective_noise_pct,15,qNEHVI,8,0.8299371536008752
objective_noise_pct,15,qNEHVI,9,0.8393180077277327
objective_noise_pct,15,qNEHVI,10,0.8334655786459985
objective_noise_pct,15,qNEHVI,11,0.846660646532824
objective_noise_pct,15,qNEHVI,12,0.8357764175156768
objective_noise_pct,15,qNEHVI,13,0.8404556163116458
objective_noise_pct,15,qNEHVI,14,0.8550544467544358
objective_noise_pct,15,qNEHVI,15,0.8514698510448814
objective_noise_pct,15,qNEHVI,16,0.8358534136236158
objective_noise_pct,15,qNEHVI,17,0.8327832991031818
objective_noise_pct,15,qNEHVI,18,0.8495173643638574
objective_noise_pct,15,qNEHVI,19,0.8453932889531368
objective_noise_pct,15,qNEHVI,20,0.8298254167118576
objective_noise_pct,15,LC-SAEA,1,0.8366293054374869
objective_noise_pct,15,LC-SAEA,2,0.8376853939661514
objective_noise_pct,15,LC-SAEA,3,0.8361381504602325
objective_noise_pct,15,LC-SAEA,4,0.8283830310877347
objective_noise_pct,15,LC-SAEA,5,0.8212494541781549
objective_noise_pct,15,LC-SAEA,6,0.8240565034503026
objective_noise_pct,15,LC-SAEA,7,0.8239232259962233
objective_noise_pct,15,LC-SAEA,8,0.8290866345166557
objective_noise_pct,15,LC-SAEA,9,0.8360411731846467
objective_noise_pct,15,LC-SAEA,10,0.8332415918182927
objective_noise_pct,15,LC-SAEA,11,0.8306332688030535
objective_noise_pct,15,LC-SAEA,12,0.8275567072644193
objective_noise_pct,15,LC-SAEA,13,0.8273280127102354
objective_noise_pct,15,LC-SAEA,14,0.8391711688478484
objective_noise_pct,15,LC-SAEA,15,0.8287610374164726
objective_noise_pct,15,LC-SAEA,16,0.826916805746969
objective_noise_pct,15,LC-SAEA,17,0.8142075535232282
objective_noise_pct,15,LC-SAEA,18,0.8343181152339395
objective_noise_pct,15,LC-SAEA,19,0.8390359409231798
objective_noise_pct,15,LC-SAEA,20,0.8351087645091861
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,1,0.9125915875600132
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,2,0.9166586502517158
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,3,0.918002520737025
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,4,0.909987134621169
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,5,0.9192704964813021
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,6,0.9083012775635643
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,7,0.9047925117028468
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,8,0.9140119321494498
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,9,0.9071210339443366
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,10,0.906332102211721
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,11,0.9155079935114583
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,12,0.9118830074117258
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,13,0.907128985942435
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,14,0.918499363798813
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,15,0.9216558573961527
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,16,0.9149979302710832
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,17,0.9121319783458659
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,18,0.9094678615072248
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,19,0.9189070739172657
missing_fidelity_pairs_pct,0,MF-BCL-SAEA,20,0.92287257721055
missing_fidelity_pairs_pct,0,MF-EMTO,1,0.8815931404360418
missing_fidelity_pairs_pct,0,MF-EMTO,2,0.8969432285232749
missing_fidelity_pairs_pct,0,MF-EMTO,3,0.8891064416565442
missing_fidelity_pairs_pct,0,MF-EMTO,4,0.8840687904827945
missing_fidelity_pairs_pct,0,MF-EMTO,5,0.8761986899594347
missing_fidelity_pairs_pct,0,MF-EMTO,6,0.8857368662735249
missing_fidelity_pairs_pct,0,MF-EMTO,7,0.875774632243017
missing_fidelity_pairs_pct,0,MF-EMTO,8,0.9099621398097144
missing_fidelity_pairs_pct,0,MF-EMTO,9,0.8790435203004651
missing_fidelity_pairs_pct,0,MF-EMTO,10,0.8922400546015496
missing_fidelity_pairs_pct,0,MF-EMTO,11,0.8808148076902106
missing_fidelity_pairs_pct,0,MF-EMTO,12,0.891315426274268
missing_fidelity_pairs_pct,0,MF-EMTO,13,0.8897635158989522
missing_fidelity_pairs_pct,0,MF-EMTO,14,0.883554394422854
missing_fidelity_pairs_pct,0,MF-EMTO,15,0.8780544190360666
missing_fidelity_pairs_pct,0,MF-EMTO,16,0.8739527796800594
missing_fidelity_pairs_pct,0,MF-EMTO,17,0.8896145909590248
missing_fidelity_pairs_pct,0,MF-EMTO,18,0.882646825696746
missing_fidelity_pairs_pct,0,MF-EMTO,19,0.8791389922682008
missing_fidelity_pairs_pct,0,MF-EMTO,20,0.8933731020205
missing_fidelity_pairs_pct,0,qNEHVI,1,0.887609821782021
missing_fidelity_pairs_pct,0,qNEHVI,2,0.8857066544158854
missing_fidelity_pairs_pct,0,qNEHVI,3,0.884418364828989
missing_fidelity_pairs_pct,0,qNEHVI,4,0.8795084709925948
missing_fidelity_pairs_pct,0,qNEHVI,5,0.8813568647296669
