parameter,level,seed,HV
phase_weight,0.15,6,0.9137296365340795
phase_weight,0.15,7,0.9093414158207448
phase_weight,0.15,8,0.9154570332109865
phase_weight,0.15,9,0.906290403000111
phase_weight,0.15,10,0.9183199422903141
phase_weight,0.15,11,0.9136998381518587
phase_weight,0.15,12,0.9134371210066945
phase_weight,0.15,13,0.9156230531883939
phase_weight,0.15,14,0.9124905576451552
phase_weight,0.15,15,0.9134441380260695
phase_weight,0.3,1,0.9147593908352274
phase_weight,0.3,2,0.9118798067132627
phase_weight,0.3,3,0.9142839883151966
phase_weight,0.3,4,0.9087966170300031
phase_weight,0.3,5,0.91356092411081
phase_weight,0.3,6,0.9081656405833294
phase_weight,0.3,7,0.9120586199538822
phase_weight,0.3,8,0.9071858851836395
phase_weight,0.3,9,0.9113632575206083
phase_weight,0.3,10,0.911649189327921
phase_weight,0.3,11,0.917272557720954
phase_weight,0.3,12,0.9092874611255932
phase_weight,0.3,13,0.9153118497336932
phase_weight,0.3,14,0.9122910117199878
phase_weight,0.3,15,0.9099098648047729
phase_weight,0.45,1,0.9153900633916893
phase_weight,0.45,2,0.9074241225860493
phase_weight,0.45,3,0.9079772339499101
phase_weight,0.45,4,0.9155712783410229
phase_weight,0.45,5,0.9098988259924969
phase_weight,0.45,6,0.9078790028173753
phase_weight,0.45,7,0.9099651325306726
phase_weight,0.45,8,0.9063925873208379
phase_weight,0.45,9,0.9104078438471879
phase_weight,0.45,10,0.9105750731778444
phase_weight,0.45,11,0.9181603876620279
phase_weight,0.45,12,0.9022177416561771
phase_weight,0.45,13,0.9162678407062471
phase_weight,0.45,14,0.9116575605966858
phase_weight,0.45,15,0.9163624768289822
phase_weight,0.6,1,0.8998698316002615
phase_weight,0.6,2,0.9069137537255071
phase_weight,0.6,3,0.9045485163448541
phase_weight,0.6,4,0.9039025341094861
phase_weight,0.6,5,0.9091837580611938
phase_weight,0.6,6,0.9097554414972818
phase_weight,0.6,7,0.9109031566592791
phase_weight,0.6,8,0.9105581883857808
phase_weight,0.6,9,0.9065676327281035
phase_weight,0.6,10,0.8990070067025183
phase_weight,0.6,11,0.9072416072918891
phase_weight,0.6,12,0.9098052167653489
phase_weight,0.6,13,0.8973965510783685
phase_weight,0.6,14,0.8979945862275884
phase_weight,0.6,15,0.9045586058193031
