specimen,cycle,curvature_retention,force_retention
5,140,0.9386730788133347,0.9226506116701939
5,150,0.9401508438608976,0.9221989636705498
5,160,0.9394998376586369,0.919921374482271
5,170,0.9380456782926867,0.9166123963779313
5,180,0.9329094912041942,0.9218008668119211
5,190,0.9359106780246474,0.9215452975010112
5,200,0.9323484408834578,0.9193300391030728
5,210,0.9360534591885098,0.9192052321924054
5,220,0.9317460718392785,0.9185386965784782
5,230,0.9349401431353127,0.9148129482853281
5,240,0.9345315307708719,0.916707145991568
5,250,0.9332641793662367,0.9209111448585323
5,260,0.9346324800897049,0.921386034920805
5,270,0.9296986667662201,0.9192846822561709
5,280,0.9289297736900918,0.9171157569930911
5,290,0.9327616398281491,0.9167766965189814
5,300,0.9340373903810489,0.9173048221689124
