physics,selective_upgrade,bayesian_controller,continual_learning,seed,HV
1,0,1,1,7,0.903754505695843
1,0,1,1,8,0.9022100234541456
1,0,1,1,9,0.901666530160414
1,0,1,1,10,0.8896479288814607
1,0,1,1,11,0.9054029587866377
1,0,1,1,12,0.9008826307663571
1,0,1,1,13,0.8993124657866288
1,0,1,1,14,0.9001287372690947
1,0,1,1,15,0.9030021861162276
1,1,0,0,1,0.9113239898726716
1,1,0,0,2,0.8939659868175844
1,1,0,0,3,0.893099204436434
1,1,0,0,4,0.8863072480069285
1,1,0,0,5,0.9038652579792443
1,1,0,0,6,0.8924062709625118
1,1,0,0,7,0.8986148661162626
1,1,0,0,8,0.8963298361748467
1,1,0,0,9,0.9016183302810074
1,1,0,0,10,0.9001792327594133
1,1,0,0,11,0.9026179446288078
1,1,0,0,12,0.903922946637002
1,1,0,0,13,0.8994100495506817
1,1,0,0,14,0.8991513405134266
1,1,0,0,15,0.8991124564543633
1,1,0,1,1,0.9237236279111014
1,1,0,1,2,0.9202292819526624
1,1,0,1,3,0.9218977083265898
1,1,0,1,4,0.9084761325795178
1,1,0,1,5,0.9158339064605526
1,1,0,1,6,0.9072179016729558
1,1,0,1,7,0.9174093784092453
1,1,0,1,8,0.9232639261460034
1,1,0,1,9,0.9171913925275375
1,1,0,1,10,0.9170413710089517
1,1,0,1,11,0.9063969158756572
1,1,0,1,12,0.9155854010036439
1,1,0,1,13,0.9058929018203445
1,1,0,1,14,0.9193502892021884
1,1,0,1,15,0.8958583285863763
1,1,1,0,1,0.9193974484214428
1,1,1,0,2,0.9120558390595119
1,1,1,0,3,0.9082162585358945
1,1,1,0,4,0.9119146543537554
1,1,1,0,5,0.9014779209400107
1,1,1,0,6,0.9105965265987638
1,1,1,0,7,0.9052141553518874
1,1,1,0,8,0.9063172972126987
1,1,1,0,9,0.9082083708720178
1,1,1,0,10,0.9000811981618122
1,1,1,0,11,0.9166854325641526
1,1,1,0,12,0.9098341266999884
1,1,1,0,13,0.908520421605679
1,1,1,0,14,0.9156620648895424
1,1,1,0,15,0.9019538864035154
1,1,1,1,1,0.9217139229896552
1,1,1,1,2,0.9359044398077823
1,1,1,1,3,0.9404239401037073
1,1,1,1,4,0.9405060276690594
1,1,1,1,5,0.9278249573096538
1,1,1,1,6,0.937979301199906
1,1,1,1,7,0.9226816342218385
1,1,1,1,8,0.9334669944788534
1,1,1,1,9,0.929543746207754
1,1,1,1,10,0.9263760905481802
1,1,1,1,11,0.9231768734992748
1,1,1,1,12,0.9197915672262607
1,1,1,1,13,0.934892845193063
1,1,1,1,14,0.9252644234649349
1,1,1,1,15,0.9295620876461171
